ip,国家,城市,proxyip,端口
129.80.237.223,美国,IAD,TRUE,44983
35.202.158.120,美国,ORD,TRUE,23850
18.216.55.100,美国,ORD,TRUE,17356
152.67.251.232,美国,LAX,TRUE,40917
192.9.148.42,美国,SJC,TRUE,37010
34.82.76.253,美国,SEA,TRUE,12008
35.230.79.26,美国,SEA,TRUE,18833
192.18.130.65,美国,LAX,TRUE,17362
35.197.23.75,美国,SEA,TRUE,44155
192.9.146.103,美国,LAX,TRUE,19052
192.9.139.160,美国,LAX,TRUE,42179
184.169.181.217,美国,SJC,TRUE,21740
129.146.209.97,美国,LAX,TRUE,13278
23.94.43.51,美国,SEA,TRUE,28967
192.18.134.231,美国,LAX,TRUE,62955
129.146.60.210,美国,LAX,TRUE,40181
198.23.254.51,美国,SJC,TRUE,45051
129.146.46.164,美国,LAX,TRUE,39144
129.146.46.164,美国,LAX,TRUE,58317
152.70.155.147,美国,LAX,TRUE,32274
47.254.22.131,美国,SJC,TRUE,21038
129.159.202.83,德国,FRA,TRUE,16657
132.226.157.11,美国,LAX,TRUE,27850
141.148.230.238,德国,FRA,TRUE,37623
141.148.247.8,德国,FRA,TRUE,20614
144.21.36.95,德国,FRA,TRUE,33914
130.162.178.144,德国,FRA,TRUE,24686
18.184.55.249,德国,FRA,TRUE,27108
152.70.16.24,德国,FRA,TRUE,54706
